mun_id;municipio_resid;data;Mean;0.05 quantile;Median;0.95 quantile
3505906;BATATAIS;27/05/2021;0,984456617;0,81932709;0,980771979;1,162155498
3505906;BATATAIS;28/05/2021;0,802797094;0,653768302;0,799083515;0,964494138
3505906;BATATAIS;29/05/2021;0,721272912;0,578587904;0,717460264;0,876964265
3505906;BATATAIS;30/05/2021;0,821630904;0,664892955;0,81760683;0,992096364
3505906;BATATAIS;31/05/2021;0,747588728;0,595019093;0,743369331;0,914552357
3505906;BATATAIS;01/06/2021;0,769420279;0,611117117;0,76500287;0,942792955
3505906;BATATAIS;02/06/2021;0,894050837;0,718505377;0,889398659;1,085466569
3505906;BATATAIS;03/06/2021;0,621044605;0,473895149;0,616236997;0,784595207
3505906;BATATAIS;04/06/2021;0,793691602;0,621733484;0,788609674;0,982986347
3505906;BATATAIS;05/06/2021;0,731105152;0,561537745;0,725696748;0,919123222
3505906;BATATAIS;06/06/2021;0,785475424;0,605171004;0,779790964;0,985172218
3505906;BATATAIS;07/06/2021;0,809046325;0,621401787;0,803061345;1,0171085
3505906;BATATAIS;08/06/2021;0,844172453;0,648381008;0,837927625;1,061268003
3505906;BATATAIS;09/06/2021;0,895190262;0,689701005;0,888711799;1,12278061
3505906;BATATAIS;10/06/2021;1,020127802;0,797074652;1,013468103;1,265900075
3505906;BATATAIS;11/06/2021;1,028509019;0,803623297;1,021794604;1,276300519
3505906;BATATAIS;12/06/2021;1,025022339;0,800898988;1,018330687;1,271973818
3505906;BATATAIS;13/06/2021;0,982632523;0,763683877;0,975956092;1,224357462
3505906;BATATAIS;14/06/2021;1,005844866;0,783849524;0,999147239;1,250688764
3505906;BATATAIS;15/06/2021;1,333265928;1,0752854;1,326538341;1,614196643
3505906;BATATAIS;16/06/2021;1,30517166;1,054428544;1,298684043;1,578046314
3505906;BATATAIS;17/06/2021;1,321673781;1,076322311;1,315559982;1,587881451
3505906;BATATAIS;18/06/2021;1,215705492;0,986973428;1,209921344;1,464169246
3505906;BATATAIS;19/06/2021;1,128430442;0,913166056;1,122903766;1,362548236
3505906;BATATAIS;20/06/2021;1,162953071;0,947066027;1,157573483;1,397191679
3505906;BATATAIS;21/06/2021;1,370392937;1,138009037;1,365145981;1,620675728
3505906;BATATAIS;22/06/2021;1,479803437;1,243958973;1,474823928;1,732634332
3505906;BATATAIS;23/06/2021;1,255492843;1,047133797;1,250896975;1,479529688
3505906;BATATAIS;24/06/2021;1,090043692;0,902065723;1,085721187;1,292767013
3505906;BATATAIS;25/06/2021;1,076119281;0,891591597;1,07190216;1,275032807
3505906;BATATAIS;26/06/2021;1,038257049;0,858179891;1,034090332;1,232548129
3505906;BATATAIS;27/06/2021;0,992733028;0,817491181;0,988599718;1,182074867
3505906;BATATAIS;28/06/2021;0,769734658;0,616300665;0,765600278;0,937272559
3505906;BATATAIS;29/06/2021;0,576144293;0,442517421;0,571882223;0,724311129
3505906;BATATAIS;30/06/2021;0,649096618;0,501598166;0,644498945;0,812279861
3505906;BATATAIS;01/07/2021;0,916625984;0,732495106;0,911621994;1,117827359
3505906;BATATAIS;02/07/2021;0,908068254;0,721239183;0,902854837;1,112682335
3505906;BATATAIS;03/07/2021;1,05069883;0,847393673;1,045397062;1,272090203
3505906;BATATAIS;04/07/2021;1,102478446;0,893622424;1,097157061;1,329487537
3505906;BATATAIS;05/07/2021;1,054292031;0,851746667;1,049051462;1,274714817
3505906;BATATAIS;06/07/2021;1,072492415;0,869317015;1,067315766;1,293327144
3505906;BATATAIS;07/07/2021;1,062009302;0,860819846;1,056883251;1,280685474
3505906;BATATAIS;08/07/2021;0,837540738;0,660832036;0,832470239;1,031546984
3505906;BATATAIS;09/07/2021;0,867482303;0,686011065;0,862324218;1,066549848
3505906;BATATAIS;10/07/2021;0,913366893;0,723892227;0,908031155;1,121043881
3505906;BATATAIS;11/07/2021;0,951083018;0,755403942;0,945622643;1,16538957
3505906;BATATAIS;12/07/2021;0,965210516;0,766624801;0,959669033;1,182700404
3505906;BATATAIS;13/07/2021;0,756465523;0,581016209;0,750869514;0,951005511
3505906;BATATAIS;14/07/2021;0,956975896;0,755068143;0,951182333;1,178647861
3505906;BATATAIS;15/07/2021;1,093599728;0,873918548;1,087629614;1,33364722
3505906;BATATAIS;16/07/2021;1,049973697;0,835692639;1,044047637;1,284470837
3505906;BATATAIS;17/07/2021;0,949856602;0,747703387;0,943999767;1,171989905
3505906;BATATAIS;18/07/2021;0,760365667;0,58020567;0,754479551;0,960606134
3519600;IBITINGA;19/04/2021;1,82418563;1,547830794;1,818660782;2,11938709
3519601;IBITINGA;20/04/2021;1,503680648;1,271779957;1,498954745;1,751702593
3519602;IBITINGA;21/04/2021;1,521661026;1,299715858;1,5174008;1,758138832
3519603;IBITINGA;22/04/2021;1,604234532;1,38564325;1,600332978;1,836134858
3519604;IBITINGA;23/04/2021;1,597998782;1,390279798;1,594472579;1,817746366
3519605;IBITINGA;24/04/2021;1,351712966;1,170698249;1,348541258;1,543547048
3519606;IBITINGA;25/04/2021;1,205808063;1,041505946;1,202875496;1,380113801
3519607;IBITINGA;26/04/2021;1,464518578;1,28680764;1,461713945;1,651796651
3519608;IBITINGA;27/04/2021;1,459069679;1,287217616;1,456441568;1,639886707
3519609;IBITINGA;28/04/2021;1,289206217;1,134486681;1,286792778;1,452158441
3519610;IBITINGA;29/04/2021;1,230568517;1,084081102;1,22830302;1,384783959
3519611;IBITINGA;30/04/2021;1,072986878;0,939384204;1,070820008;1,213981166
3519612;IBITINGA;01/05/2021;1,060598496;0,929308557;1,058482286;1,199107237
3519613;IBITINGA;02/05/2021;1,119472364;0,985122838;1,117376674;1,260970683
3519614;IBITINGA;03/05/2021;1,230060634;1,090233945;1,228000846;1,376913624
3519615;IBITINGA;04/05/2021;1,175746736;1,04143535;1,173757917;1,316842338
3519616;IBITINGA;05/05/2021;1,242017165;1,106357874;1,240100999;1,384212824
3519617;IBITINGA;06/05/2021;1,205218957;1,074169006;1,203376616;1,342553441
3519618;IBITINGA;07/05/2021;1,199123662;1,071007667;1,197355508;1,333271124
