Data;Município1;DATA_DIA;DIA;STR_DATA;UF1;Escala de cor;Número de registros;Índice De Isolamento
quinta-feira, 18/02;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (18/2/2021);SP;>40-50%;1;40%
sexta-feira, 19/02;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (19/2/2021);SP;Até 40%;1;39%
sábado, 20/02;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (20/2/2021);SP;>40-50%;1;42%
domingo, 21/02;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (21/2/2021);SP;>40-50%;1;47%
segunda-feira, 22/02;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (22/2/2021);SP;Até 40%;1;39%
terça-feira, 23/02;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (23/2/2021);SP;Até 40%;1;40%
quarta-feira, 24/02;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (24/2/2021);SP;>40-50%;1;43%
quinta-feira, 25/02;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (25/2/2021);SP;Até 40%;1;40%
sexta-feira, 26/02;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (26/2/2021);SP;Até 40%;1;39%
sábado, 27/02;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (27/2/2021);SP;>40-50%;1;42%
domingo, 28/02;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (28/2/2021);SP;>40-50%;1;48%
segunda-feira, 01/03;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (1/3/2021);SP;Até 40%;1;39%
terça-feira, 02/03;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (2/3/2021);SP;>40-50%;1;40%
quarta-feira, 03/03;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (3/3/2021);SP;>40-50%;1;40%
quinta-feira, 04/03;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (4/3/2021);SP;>40-50%;1;40%
sexta-feira, 05/03;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (5/3/2021);SP;Até 40%;1;40%
sábado, 06/03;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (6/3/2021);SP;>40-50%;1;46%
domingo, 07/03;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (7/3/2021);SP;>50-60%;1;51%
segunda-feira, 08/03;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (8/3/2021);SP;>40-50%;1;42%
terça-feira, 09/03;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (9/3/2021);SP;>40-50%;1;43%
quarta-feira, 10/03;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (10/3/2021);SP;>40-50%;1;42%
quinta-feira, 11/03;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (11/3/2021);SP;>40-50%;1;42%
sexta-feira, 12/03;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (12/3/2021);SP;>40-50%;1;42%
sábado, 13/03;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (13/3/2021);SP;>40-50%;1;46%
domingo, 14/03;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (14/3/2021);SP;>40-50%;1;50%
segunda-feira, 15/03;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (15/3/2021);SP;>40-50%;1;43%
