t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
97;103;1,139763923;0,138216678;0,885071284;0,922337512;1,04374602;1,13418174;1,229698657;1,376233098;1,426173718
98;104;1,326425557;0,148298886;1,051772973;1,092278754;1,223617613;1,320902896;1,423214881;1,579411856;1,632457983
99;105;1,308100845;0,145344538;1,038820889;1,078557134;1,207356468;1,30272167;1,402982951;1,555994563;1,607945415
100;106;1,263571199;0,139538096;1,004955673;1,043139728;1,166866107;1,258438459;1,354682567;1,501511998;1,551351145
101;107;1,194203912;0,13187776;0,949785811;0,985873646;1,102807718;1,189352949;1,280313466;1,419082284;1,46618537
102;108;1,175953636;0,12755008;0,939309997;0,974306844;1,087595377;1,171345282;1,259289602;1,393320882;1,438782258
103;109;1,049417495;0,118068693;0,830833714;0,863051584;0,967553789;1,04499291;1,126459287;1,250877042;1,293141787
104;110;0,939657863;0,109978634;0,736541766;0,766366912;0,863327234;0,935370689;1,011316444;1,127573779;1,16713338
105;111;0,912309494;0,107516705;0,713825992;0,742951156;0,83767431;0,908089333;0,982345681;1,096064206;1,134771592
106;112;0,942092805;0,109516064;0,739745481;0,769477451;0,866096469;0,937852559;1,013468213;1,129173021;1,168532961
107;113;0,971771312;0,112210486;0,764359782;0,79485565;0,893918556;0,967455757;1,04492105;1,163408723;1,203703627
108;114;1,081696823;0,119453431;0,860305584;0,89299355;0,998911152;1,077302873;1,159693914;1,285389189;1,328054649
109;115;1,066178725;0,119202405;0,845413421;0,877971903;0,983541866;1,06173962;1,143977828;1,269528705;1,312167096
110;116;1,021558125;0,116417353;0,806197697;0,837902158;0,940813477;1,017139215;1,097487082;1,220288394;1,262026712
111;117;1,036038443;0,116563432;0,820241392;0,852048516;0,955218419;1,031670267;1,112098027;1,234929576;1,276655487
112;118;0,84597098;0,104929786;0,652902542;0,681086233;0,77303338;0,841636644;0,914185326;1,025641701;1,06366627
113;119;0,909639155;0,108722674;0,709108347;0,738492737;0,834139211;0,905311226;0,980422704;1,095549609;1,134760761
114;120;0,97796844;0,113686522;0,767915571;0,798779758;0,899078104;0,973566722;1,052061881;1,172172818;1,213031616
115;121;0,880412379;0,109201716;0,679483687;0,7088148;0,804505324;0,875901583;0,951403886;1,067397903;1,106970538
116;122;0,923365293;0,112807025;0,715595419;0,745972926;0,844983881;0,918775521;0,99674504;1,116414983;1,157213513
117;123;0,997488202;0,11838007;0,779046562;0,811078158;0,915297081;0,992809088;1,074580196;1,199860278;1,242516105
118;124;1,060579398;0,123289851;0,832782942;0,866254288;0,975025037;1,055805858;1,14093166;1,27118861;1,315498832
119;125;1,186599711;0,131038017;0,943737964;0,979596007;1,095785491;1,181779637;1,272160955;1,41004615;1,456849303
120;126;1,078794333;0,12456844;0,848540177;0,882394613;0,992367506;1,074003498;1,16000019;1,291537136;1,336269795
121;127;1,166486073;0,128038481;0,929099646;0,964168644;1,077763809;1,16180475;1,250106556;1,384772903;1,430472007
122;128;1,125130624;0,124249892;0,894849775;0,928850274;1,039020827;1,120560243;1,206259564;1,33700193;1,381380554
123;129;1,164217471;0,124817214;0,932490469;0,966795703;1,077776572;1,159759919;1,245800395;1,376845244;1,42127268
124;130;1,082450368;0,118814364;0,862165676;0,894708241;1,000119811;1,078106295;1,160046684;1,28501143;1,327418291
125;131;0,990679233;0,112172334;0,783090823;0,813669764;0,912891436;0,986448793;1,063856713;1,182120062;1,222304972
126;132;1,23341265;0,123962636;1,002456939;1,036836849;1,147693043;1,229262241;1,314608865;1,444146601;1,487951773
127;133;1,086743408;0,115847237;0,871599992;0,903466214;1,00652554;1,082629739;1,162478061;1,284053511;1,325261093
128;134;1,135205755;0,117087533;0,917361804;0,949719913;1,054191991;1,13118275;1,211835037;1,334415173;1,375909023
129;135;1,012272348;0,109156134;0,809687215;0,839662861;0,936666871;1,008351526;1,083604808;1,198256903;1,237135894
130;136;0,933068303;0,103674256;0,740990917;0,76933478;0,861207342;0,929231338;1,000747708;1,109890887;1,146947429
131;137;0,93606988;0,103371625;0,744484154;0,772771397;0,864429498;0,93226748;1,003566359;1,1123395;1,149260984
