t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
134;140;0,913117195;0,027091768;0,860783678;0,869016831;0,894700969;0,912849276;0,93124136;0,95813146;0,966973259
135;141;0,972907119;0,028062034;0,918677143;0,9272139;0,953835378;0,97263733;0,991684761;1,019520616;1,028670267
136;142;1,016802333;0,028875246;0,960988516;0,969777511;0,997180156;1,016529012;1,03612656;1,064759479;1,074169393
137;143;1,061027598;0,029668214;1,003668646;1,012703885;1,040868822;1,060751085;1,080884946;1,110294523;1,119957932
138;144;1,04202272;0,029449303;0,985095448;0,994060688;1,022011145;1,041745304;1,061731882;1,090931045;1,100526507
139;145;1,082201988;0,029922953;1,024341615;1,033457952;1,061871755;1,08192621;1,102231594;1,131886731;1,14162957
140;146;1,141744005;0,030579991;1,082587814;1,091914319;1,120972004;1,141471003;1,162218405;1,192504929;1,202451632
141;147;1,056580552;0,029225693;1,000068728;1,008972521;1,036723996;1,056311097;1,076143373;1,10510772;1,11462365
142;148;1,0629803;0,029038409;1,006821097;1,015671587;1,04325273;1,062715889;1,082419634;1,111190947;1,120642117
143;149;0,935621317;0,026997814;0,88344826;0,891661148;0,917272794;0,935361652;0,953686778;0,980467232;0,989270017
144;150;0,94197048;0,026924434;0,889932211;0,898125543;0,923673108;0,941713964;0,959988222;0,986690417;0,995466489
145;151;0,965148093;0,027244077;0,912482776;0,920777027;0,946635189;0,964891758;0,983381565;1,010393545;1,019270129
146;152;0,990513633;0,027729058;0,936904614;0,945348954;0,971672304;0,99025489;1,009072905;1,03656091;1,045593052
147;153;0,979803496;0,02772412;0,926212007;0,934651696;0,960964065;0,979542019;0,99835789;1,025847224;1,034880927
148;154;1,023169896;0,028421386;0,968216493;0,976873993;1,003859222;1,022906747;1,04219371;1,070363427;1,079618738
149;155;1,07943134;0,029237962;1,022879737;1,0317936;1,059569386;1,079167368;1,099005536;1,127969518;1,137483065
150;156;0,966860802;0,027658483;0,913404418;0,921820883;0,948064471;0,966597078;0,985369646;1,012800312;1,021815895
151;157;0,838827701;0,025667711;0,789267906;0,797059289;0,82137535;0,838565909;0,855994672;0,881489112;0,88987522
152;158;0,974583623;0,027620684;0,921193278;0,929601006;0,95581426;0,974322703;0,993068556;1,020456266;1,029456742
153;159;0,988861671;0,028002855;0,934731986;0,943256287;0,969832719;0,988597353;1,007602489;1,035368672;1,04449344
154;160;0,98984574;0,028258248;0,935228593;0,943828188;0,970642104;0,989576846;1,008756253;1,036780515;1,045990972
155;161;0,962081612;0,027983574;0,908009768;0,916520092;0,943062008;0,961810311;0,980805469;1,008568567;1,01769522
156;162;0,849111928;0,026329843;0,798283989;0,806272299;0,831207495;0,848839792;0,866719705;0,89287984;0,901486373
157;163;0,853090491;0,026453213;0,802024396;0,810050135;0,835102167;0,852817081;0,87078077;0,897063481;0,90571034
158;164;0,866921833;0,026882105;0,815027791;0,823183654;0,848641859;0,866643989;0,884898928;0,911607766;0,920394818
159;165;0,553276719;0,021768381;0,511428382;0,517964401;0,538442712;0,552991257;0,567799547;0,589562781;0,596747283
160;166;0,735631729;0,025518782;0,686459497;0,69416633;0,718262517;0,735336671;0,752679299;0,778103602;0,786480725
161;167;0,77325253;0,026904897;0,721412093;0,729536479;0,754939379;0,772940506;0,791225544;0,818032931;0,82686615
162;168;0,872057221;0,029599551;0,815000532;0,82394812;0,85191429;0,871722353;0,891835113;0,921308596;0,931016914
163;169;0,926330836;0,031459845;0,865688797;0,875198498;0,904921841;0,925974717;0,947351627;0,978677938;0,988996645
164;170;0,966140923;0,032811866;0,902892725;0,912811115;0,943811852;0,965769498;0,988065104;1,020737698;1,031499864
165;171;0,988680048;0,033577335;0,923956331;0,934106108;0,965830062;0,988299958;1,011115699;1,044550513;1,055563749
166;172;1,453197298;0,04092296;1,374086803;1,386546524;1,425389795;1,452813177;1,480586069;1,521158347;1,534490699
167;173;1,119611584;0,035911558;1,050323486;1,061204391;1,095184875;1,119227653;1,143619769;1,179328407;1,191081503
168;174;1,050647662;0,034195669;0,984685687;0,995040605;1,02738528;1,050276694;1,073505652;1,10752013;1,11871779
169;175;0,933937546;0,031518866;0,873175291;0,882705367;0,912489552;0,933583;0,954999051;0,986379121;0,99671463
170;176;0,809259793;0,028976149;0,753456564;0,762195358;0,78953175;0,808913982;0,828610869;0,857503828;0,867028207
171;177;0,808919995;0,028963982;0,753140197;0,761875322;0,789200236;0,808574329;0,828262946;0,857143773;0,866664153
172;178;0,827784611;0,029639444;0,770703987;0,779642821;0,807604972;0,827430884;0,847578654;0,877133003;0,886875405
173;179;0,676607978;0,027305676;0,624141091;0,632329293;0,657995847;0,676240691;0,694819736;0,722139522;0,731162084
174;180;0,718108701;0,028724348;0,662906043;0,671523522;0,698531332;0,717725746;0,737268616;0,766000184;0,775487617
175;181;0,73199131;0,029759679;0,674817694;0,683738431;0,71170495;0,731588049;0,751838081;0,781619761;0,79145658
176;182;0,860784539;0,033279853;0,796784323;0,806785245;0,838109976;0,860355686;0,882991614;0,9162467;0,927221846
177;183;0,880836086;0,034709804;0,814110716;0,824531637;0,857182815;0,880380208;0,90399241;0,938695584;0,950152118
178;184;0,923652121;0,036396992;0,853683338;0,864610804;0,898849103;0,923174085;0,947934038;0,984324077;0,996337495
179;185;0,952468826;0,03753253;0,880317111;0,891585499;0,926891987;0,951975875;0,977508305;1,015033665;1,027421886
180;186;0,627336702;0,030757712;0,568493481;0,577616493;0,606326073;0,6268341;0,647799462;0,678771352;0,689036082
181;187;0,931157918;0,03776344;0,858604015;0,86992538;0,905416263;0,930647465;0,956343136;0,994131672;1,006612626
182;188;0,961353255;0,039052306;0,886325596;0,898032376;0,934732589;0,96082451;0,987397544;1,026477746;1,039385668
183;189;0,952965754;0,039672483;0,876785046;0,888662679;0,925915473;0,952415282;0,979415976;1,019146556;1,032274684
184;190;1,080540731;0,042712123;0,998436923;1,011258402;1,051433315;1,079978002;1,109034724;1,151742595;1,165842422
185;191;1,089761473;0,043076604;1,006957035;1,019887926;1,060405669;1,089193941;1,118498617;1,161570934;1,175791081
186;192;1,085552943;0,042910248;1,003068287;1,01594924;1,056310509;1,084987604;1,114179109;1,157085085;1,171250316
187;193;1,272655;0,046133708;1,183828834;1,197734382;1,241241909;1,272097595;1,303460467;1,349476987;1,364648801
188;194;0,910692526;0,038656745;0,836492642;0,848054282;0,884329405;0,910145622;0,936459478;0,975196326;0,988000351
189;195;0,833862444;0,036462259;0,763919631;0,774807379;0,80898794;0,833331043;0,85815768;0,894730181;0,906825091
190;196;0,736348235;0,034001402;0,671206011;0,681327615;0,713138322;0,735824955;0,758987734;0,793153828;0,804464136
191;197;0,668059508;0,032636843;0,605615754;0,61529829;0,645766216;0,667528112;0,689773542;0,722633386;0,73352305
192;198;0,696768168;0,034039352;0,631641006;0,641739632;0,673516862;0,696213936;0,719415325;0,753687261;0,765044889
193;199;0,741314527;0,036215585;0,672023602;0,682767861;0,7165767;0,740724862;0,76540958;0,801872619;0,813956372
194;200;1,00194295;0,04360397;0,918292026;0,931315717;0,972197927;1,001310482;1,030998533;1,07472761;1,089188056
195;201;1,140129443;0,04800811;1,04796434;1,062328975;1,107391675;1,139455679;1,172132754;1,220228203;1,236123409
196;202;1,190718967;0,049873729;1,094961629;1,109888652;1,156710891;1,190022713;1,223968069;1,273924288;1,290432974
197;203;1,302871083;0,051990216;1,202951135;1,218550388;1,267437481;1,302179603;1,337550912;1,389550495;1,406720575
198;204;1,406479253;0,053159919;1,304203659;1,32019607;1,370267731;1,405809557;1,441960746;1,495046841;1,512560601
199;205;1,341746609;0,050713255;1,244178208;1,259434575;1,307201708;1,341107736;1,37559508;1,42623791;1,442945606
200;206;1,263313545;0,047748764;1,171448597;1,185813138;1,230787999;1,262712018;1,295183372;1,342865827;1,358596859
201;207;1,24923062;0,046016001;1,160656936;1,174516857;1,217893026;1,248665658;1,279952354;1,32587153;1,341014879
